DELITOS;DESCRIPCION;COD;MINIMO;MAXIMO;PRESAÑO;PRESCRIBE
OMISION DE SOCORRO;131;;2;4;5;1826
OMISION MED DE SOCORRO Y AS. HUM.;152;;3;5;5;1826
OMISION MEDIDAS DE PROT. POBLACION CIVIL;161;;4;8;8;2922
OPERAC NO AUTO CON ACCION;315;213;2;6;6;2191
PANICO;355;267;MULTA;;5;1826
PANICO ECONOMICO;302;185;2;8;8;2922
PECUL APLIC OFICI DIFERENTE;399 ley 890 + fun pco 6 años + 9  meses;031;16;81;6;2191
PECULADO CULPOSO;400;030;1;3;5;1826
PECULADO POR APROPIACION;397;032;6;15;15;5477
PECULADO POR ERROR AJENO;PECULADO POR ERROR AJENO ART. 135 C.P.;033;1;3;5;1826
PECULADO POR EXTENSION;PECULADO POR EXTENSION ART. 138 C.P.MOD.ART.20 L.190/95;034;6M;2;5;1826
PECULADO POR USO;398;035;1;4;5;1826
PERFIDIA;143;;3;8;8;2922
PERTENENC BANDAS SICARIOS;PERTENENCIA A BANDAS DE SICARIOS ART. 2 DEC. LEY 1194 DE 1989;121;10;15;15;5477
PERTUBACION CERT DEMOCRATICO;386;292;2;6;6;2191
PERTUR DE LA POSESI;264;209;1;2;5;1826
PERTUR DE LOS SERVI COMUN;PERTURBACION DE LOS SERVICIOS DE COMUNICACION, ENERGIA Y DE COMBUSTIBLES ART 196 C.P.;269;1;4;5;1826
PERTUR EN SERVICIO TRANS;353;271;1;3;5;1826
PERTURBACION DE ACTOS OFI;430;036;MULTA;;5;1826
PERTURBACION DE INSTALACION NUCLEAR O RADIOACTIVA;362;;3;8;8;2922
PESCA ILEGAL;335;;1;3;5;1826
PISTA ATERRIZAJE ILEGAL;PISTA DE ATERRIZAJE ILEGALES (RESPONSABILIDAD DEL DUEÑO POSEEDOR O ARRENDATARIO ) ART. 64 LEY 30 DE 1986 MODIF. D.L.1198 DE 1987;049;3;10;10;3652
PORNOGRAFIA CON MENORES;218;325;6;8;8;2922
PORTE DE SUSTANCIAS;383;;1;2;5;1826
PORTE ILEGAL ARMAS;;;;;0;0
POSESION DE SUSTANCIAS PA;POSESION DE SUSTANCIAS PARA EL PROCESAMIENTO DE NARCOTICOS ART. 43 LEY 30 DE 1986 MOD L 365/97 ART 26;053;3;10;10;3652
PREVAR ASESORAMIEN ILEGAL;PREVARICATO POR ASESORAMIENTO ILEGAL ART. 151 C.P.  MOD. ART. 30 L 190 DE 1995;038;3;6;6;2191
PREVARICATO POR ACCION;413;037;3;8;8;2922
PREVARICATO POR OMISION;414 LEY 890 32 A 90 MESES;039;32;90;7;2737
PRIVACION ILEGAL LIBERTAD;174;149;3;5;5;1826
PROLONGACION ILICITA DE L;175;150;3;5;5;1826
PROPAGAC DE ENFERMEDAD;PROPAGACION DE ENFERMEDAD EN LOS RECURSOS NATURALES ART. 245 C.P.;186;1;6;6;2191
PROPAGACION DE EPIDEMIA;369;282;1;5;5;1826
PROPAGACION DE HIV;370;;3;8;8;2922
PROSTITUCION FORZADA Y ESCL;141;;10;18;18;6573
